reference,translation
I said that the AAU should've been shitcanned in 1920.,I said the AAU should have abolished in 1920.
"""He's mad!"" said Harry, staring at Krums dark head as it bobbed out into the middle of the lake.","""what a fool!"" Said Harry, his eyes wide open as Krum's dark head popped up in the middle of the lake."
"Got 30 fucking minutes to take a shower, get a new suit, get dressed and get to the fucking courthouse.","God, I have to shower in half an hour, get a new suit and get in court."
You mess it up anyway.,you screwed up anyway.
You're stepping on it! - Shut up.,watch out! You're stepping on my sandwich!
"You know, it's really one of my favorite parts of rehab, because it's like when all of the different weirdos get to be like, ""I'm sorry that I stole your car..."" Or, like, ""I'm sorry that I shit in your fish tank...""","you know, it's actually one of my favorite parts of rehab, 'cause all these crazy people have to say, ""I'm sorry I stole your car,"" or ""I'm sorry I punched you in the tank."""
"""I cannot live with the shame.","""I can't live with this pagan."
"Great idea, yeah, Cyril. Let's give an M-16 to a bunch of wild Indians!",we're going to give a bunch of wild Indians a sixteenth.
And tell the poomui not to shoot me.,and tell the pope not to shoot me.
Over. What's all these reports about circus clowns?,what's all the news about clowns?
"Looks like she left in a hurry, or she's just a filthy pig.","she seems to have left in a hurry, or she's a terrible mess."
What do you mean wandering around like a couple of strays?,what do you mean by wandering around like a bunch of losers?
¡ Sit down and Callens now!,sit down and shut up!
"No. That would imply emotions, and we've already established those are useless.","no, that would be an emotion, and we already agreed that they were useless."
What is this madness?,what kind of stupidity is that?
One of your sons will die.,one of your sons dies.
"""Silence!"" interrupted Idris sternly.","""shut up!"" Idris interrupted him sternly."
"'Grinning Monkey', Argo called him and Lin-tse had despised the youth for his cowardice.","""a monkey's teeth,"" Argo called him, and Lin-cche despised the young man for his cowardice."
They're like out of a fucking nightmare.,they're like a bad dream.
"Look, I just saved your life back there!",you shut up. I saved your life.
They killed the Havelocks.,so they killed Havelock.
"Oh, I had lovely tits.",I had beautiful breasts.
But doesn't look a damn thing like miss Renèe Zellweger.,she doesn't even look like Miss Renèe Zellweger.
Fucking kills me to see him like this.,it kills me to see him like that.
"To quit this Family Court shit, I'd do anything, Pedro.","I'll do anything to get my family in court, Pedro."
That somebody's about to fuck with this airport.,someone's going to make a big deal with this airport.
‘The only connection we have is that you killed my sister.,"""the only thing that connects us is that you killed my sister!"""
"Come here, you little shit!","come here, you punk!"
"Had I wished, I could have slain those four soldiers myself.","if I wanted to, I could have taken the four soldiers myself."
Well-set ears.,your ears are fucked.
The hell you are.,you're not.
But you knowthose bullets were meant for you.,"someone will shoot him, but you know the bullets belonged to you."
"Porco came back to fight against Curtis, for pride and honor of the pilots of the Adriatic.","Porco has returned to defend the honor of the Adriatic pilots in a duel with Curtis, but you must be ignorant of honor."
It was fun knocking around those guys.,it was fun to kick the boys.
I'm gonna take a shot in the dark and say that Ty doesn't want his little sister at a frat party.,I'll have a shot in the dark and say you don't want your little sister for Frat Party.
What do I care about that loser's private life?,what's in my private lives...
You're a spirit.,you're a ghost.
"It's like, fuck, I can do without the fame stuff... and just, you know, give me the money.","I can do it without any of this stuff with fame... and just like that, give me the money."
I received a list of everyone I'd ever had sex with and ever would have sex with.,"exactly a year ago, I got a list of everyone I had or had sex with."
"Oh, Frank... he's an oddball.",Frank's a weird guy.
"Well, as long as one of the others is your mum, you're still in trouble.","well, if one of those others is your mom's number, you're screwed."
I'm sick of you not backing me up.,I'm sick of you for not supporting me.
My Malu left in anger because of you.,my Mala's gone mad because of you.
If I threaten that girl... you'll always be screwed.,"if I threaten the girl, you'll be finished forever."
"If it'll shut you all up, I'll do it.","if you shut up, I'll go."
Did you go through my shit?,did you mess with my stuff?
I'm just worried you're gonna do something stupid if I'm not around,I was just worried that you were gonna do something crazy when I wasn't around.
I don't know what the fuck I was thinking.,what I thought of myself.
He's had sex with two other women?,did he love himself with two women?
But not to a queer.,but not for fags.
I bet it's her tushie.,I bet it's from the bottom.
"She staged her penthouse to look like she was assaulted, making the world believe that I was a monster who burned the queen alive.","she set up her apartment to make it look like she was being attacked, so that the world believed I was the monster that burned the Queen alive."
That Azaz-Varak was a thief on a global scale was nothing new.,there was nothing new about the fact that Azaz-Varak was a world-class thief.
We up the stakes: 2 bullets!,we'll take more than two bullets!
What happened? Howard's mother had a heart attack because I have sex with him and she can't.,"Howard's mother had a heart attack because I slept with him, and she can't."
"Oh, my God, I wouldn't try to sleep with that corn-fed loser if he...","oh my God, I wouldn't even try, unless it's the last man on earth."
"Must my son die, too, before you will trust me?",won't you believe me until my son dies too?
"Sam lost his wife, got weird.",Sam lost his wife and became a freak.
"You keep smiling, your face is gonna crack.","you keep laughing, you'll have your mouth shut."
The damn monk was behind us,the monk is behind us.
The track day really had taken its toll on my poor 75.,the day on the circuit has taken its toll on my pathetic 75.
"Otherwise, you're dead to me.","otherwise, he's dead to me."
"For old times' sake, I'm gonna give you one chance.","for old times' sake, I'll give you one shot."
I'm from Jersey.,"fuck that, I'm from Jersey!"
She's a hooker near St. Denis.,he walks the sidewalk on Saint Denis.
A butch one with a pipe.,a tough guy with a pipe.
To drop a bomb.,drop the bomb.
Clean that shit up.,clean it up.
"You'il paint till you die, okay?","you paint until you die, okay?"
We'll send news of the execution to your father in Japan.,we'll post an execution on your father's execution in Japan.
Please don't shoot me.,don't kill me.
"Think of the chubby, comfortable creature!","just imagine the smug, half-assed creature!"
Get off me.,get away from me.
What's the deal?,what the hell...?
"All you gotta do is gut it, clean it, scale it, and cook it.","you just have to gut her, clean her up, get rid of the scales and cook."
"To Mahmoud, Harshaw looked like a museum exhibit of what he thought of as a ""Yank""-vulgar, dressed too informally for the occasion, loud, probably ignorant and almost certainly provincial.","to Mahmoud, Jubal appeared as an exhibition exhibit of what he thought was ""Arnika"" - vulgar, for such an opportunity to be too casually dressed, noisy, probably uneducated, and almost certainly from the countryside."
"Year in year out, decade in, decade out What a rat...","a year in a year, decades in a decade, I said it!"
"And I know, because these teachers, you know, hear it... these fucking dykes, lesbians, these feminists at the school system... with their fucking rectal-ranger buddies, you know:","and I know, because these teachers, you know, they listen to... these, lesbians, this feminism in the school system... you know:"
"I'm gonna send this message back, and I need that fucking code.","it's hard, but I'll send the message and I need the code."
"I know the kind Mrs Milton serves: pink, sweet and nauseating.","I know the kind that Mrs Milton is serving: Pink, sweet and disgusting."
She is a bit out of her mind.,she's a little eccentric.
Bloody elephants!,damn elephants!
Only a pathetic attempt to save a home.,but just a desperate attempt to save his own family.
He smelt nasty but he wasn't sinister.,"he smelled bad, but he didn't look ominously."
Then why the fuck do we have to leave the house?,then why do we leave the house?
Ow! You little vampires.,you little vampires!
"It was you, who killed them, after all...",you were the one who killed them.
I was a horrible chav.,I was a bad-ass.
"""Oh, that's nice. "" it's the real fucking deal, okay?","""oh, it's beautiful."" It's really fucking cool, okay?"
"A man needs a little madness, or else Or else?","and you have to be a little crazy, or else."
You'll blow your own face off.,it might blow your mind off.
They usually vote for the most conservative politician as long as he looks and sounds like a jock.,"they usually vote for the most conservative politician, if possible resembling a beer barrel."
When you boys learn that having sex doesn't make you a man... maybe you'll finally pull your pricks outta your poopshoots.,"when you learn that having sex doesn't make you a man..... .Maybe in the end, you get your thunder."
"Wait a minute, get a shot of the bear.","wait, you have to shoot the bear."
"""You saw that poor clown killed.","""you saw the poor man die a violent death."
There'd never be a tv show that pointed out you haven't had an original thought since beetlejuice and you put Johnny depp and the same crappy music in every film and that if you're that in love with Johnny depp you should just have sex with him already.,"no series would claim that you didn't invent anything original from Beetlejuice, and that you took Johnny Depp in every movie, and that if you loved him, you should have slept with him."
I screwed you.,I cheated on you.
No. goddamn it. We ain't doing that. We ain't opening that Pandora's box.,"no. We can't. We can't open the Pandora's Box. Say Freddie. I don't recommend ""under the table."""
"Don't be a hero, you got me?","don't be a hero, fool!"
"""Shit, I'm zooming out,"" she said impatiently.","""hell, she's resisting,"" she said eagerly."
"Harald has been a bitter, old man. He never goes outside of a door.","Harald has become a bitter old man, almost never out of the house."
Right. -Shit.,all right.
We've been here all day looking at these maps... ...moving satellites around in outer fucking space.,"I've been staring at maps all day, making space satellites, and he'll tell me:"
And throw some of the lines away a little and lose that hat.,throw out a couple of lines and that stupid hat.
"Oh, all right. It was a man named Lockhardt... and he tried to get laughs with words like kike and coon.","one guy named Lockhardt tried to make people laugh like a ""Jew"" and a ""nigger."""
"A big boy like you crammed into that tight, rancid little hole?",a big boy like that in that little nasty little hole?
No wonder he's so fucking pissed.,no wonder he's so upset.
"It comes in a 12, which is a beast.","now 12, he's a beast."
"Sir, this darkie was hiding in the bushes... ...with this stone in his hand.","Sir, this wimp was lurking in the bushes...... with this stone in his hand."
"Looks like we got your shooter, plus two support guys.",we got your shooter and two other guys.
"No, what are you- oh, this is ridiculous!","no, what are you-- Oh, that's crazy."
Killing Dyson might actually prevent the war.,killing Dyson can prevent a war.
You know and I know they were there to boost that shit.,you know and I know they came to steal it.
He has gone mad!,he's crazy!
His black face flashed a wry smile.,a sour smile crossed his black face.
"Once he stopped drinking, once the nigga stopped getting oddy with the 40s, something was gone, like, 95% was gone.","once he stopped drinking, once this nigger was over his 40s, it was gone, the 95% were gone."
"Your pops dies, five-0 puts your mom on trial for it when, oops, our bad, the shipyard poisoned him.","your dad's gonna die, and the cops are gonna put Mom in front of the court when, our mistake, he was poisoned by the shipyard."
This is ridiculous. Just nervous heartburn. I always get it the first day of a trial.,"it's weird... always on the first day of the trial, I have that tingle of heart."
'Cause I'm too busy getting the shit kicked out of me and being an accomplice to fraud!,because I spend time beating me up and being an accessory to fraud!
"No offense, but no fucking way.","no offense, no offense."
"Left you miserable, alone, unhappy.","he left you with a poor, lonely, unhappy."
Why do all the weird ones have to fly at night?,why do all those crazy freaks fly in the night?
"You know, I want one of those t-shirts that says ""My friend was a castaway, and all I got was this crappy shirt.""","I want that T-shirt that says my friend was a trophy wife, and I only got this stupid shirt."
It's useless.,it's not worth it.
"If it were, his new press secretary would not be describing himself as “dopey.”","if credible, his new press secretary would not refer himself as ""dopey."""
You smell like pine needles and you have a face like sunshine.,you smell like needles and you have a face like a beaming sun
That would be very expensive... And most people who believe in Bigfoot are broke.,"that would be immensely expensive, and most of the people who believe in yetti are losers."
"""My good Master Trader, I don't care an electron whether your grandfather was King of Smyrno or the greatest pauper on the planet.","'my dear master merchant, I don't care if your grandfather was a washed-up king or the biggest loser on the planet."
"This is the sewage basin, where we take care of the pooh and stuff.","this is a pool of water, we're taking shit and shit."
"My client informs you that... if you do not accept, he'il plead insanity.","my client says...... if you don't accept him, he'il pretend to be insane."
"One step off the premises, and a toxic capsule explodes in her brain.",one step out of the complex and the toxic capsule explodes in her brain.
"Look, I don't want you fuckin' my brother up.",I don't want you to hurt my brother.
John Coffey's killing Boss Edgecomb!,Coffey's gonna kill the boss!
I was throwing the garbage out.,I ran out of garbage.
"You're gonna say, my psychic friend here says you're a murderer.","you say ""my friend of the Oracle says you're a murderer."""
Murdering our Holy Father.,they murdered the Holy Father!
"You killed that Yank sailor, didn't you?","you killed that American sailor, right?"
There are 201 countries in the world... and bloody Tiger could find a girl only from Pakistan?,a total of 201 states in the world... and the accursed Tiger finds himself a Pakistani?
You'il just think I'm nuts.,you'll think I'm crazy.
"They're savages, savages","they're savages, savages."
Killed him grit dead.,the guy was dead on the spot.
"There was trauma to the vaginal mucosa with multiple lacerations that appear to be made with a sharp object, in which the hymen membrane was broken.",multiple trauma to the vagina has clearly caused a mass of sharp edges to be pierced by the hymen.
I'm totally screwed.,I'm totally trapped.
Pretty pointless reunion.,a completely useless meeting.
"It was always Sofs last chance, despite the doctors' warnings that it might kill the child.","it was always Sola's only chance, no matter the doctor's warning, that he could kill the baby."
"Tell me, my fancy, fuzzy freak. What do you think of when you make love to Barbarella?","tell me, my feathered creature, what do you think about when you love Barbarella?"
Beat me if you can't stand it!,hit me if you don't like it!
Says that's why he started sucking a crack pipe.,that's why he started smoking crack.
"Normal programs just get tired without energy, but not you, you'll die without it!","beheading programs don't just get tired, but you don't, you're going to die without it."
The dark-skinned mariner lost his temper and made a few cutting remarks about elves.,the black sailor lost his composure and made a couple of petal comments on the elves.
"Yeah, you fuckin' cow. No one in this country can ever pronounce my name right.",no one in this country can pronounce my name properly.
I can get you all you want! Abby! Fuck!,I'll get you what you need!
"The trouble is, if I try and they find out, I'm dead.","the thing is, if they find out I'm behind this, they're gonna kill me."
(SIGHS) I'm sorry Ethan was such a dud.,"sorry, Ethan was a total jerk."
"No, we just messed around.","no, we just fucked up."
"""Lancer Rettig?"" asks de Soya.","""kick-Ass Rettig?"" Says de Soya."
Just trying to make your life miserable.,I just tried to embarrass your life.
How about that stud he brought into camp... with his cock hanging past his hocks?,"what about the stallion he came to camp with, with a pindick dangling from his knees?"
"Every fuckin' boss ofevery family's into drug money, off the record.",every boss in every family has money in a drug deal.
How to kill the victim like that?,how can someone kill like that?
They looked so bland and ineffectual.,they looked so soft and helpless.
You gonna let a black player play from the get-go?,you're going to let black players play?
You're becoming an even bigger pussy!,"yeah, you're becoming even bigger."
But when the judge said hang him... ...he looked surprised.,"but when the judge said hang on, he looked surprised."
And these are my cousin's donkeys.,and this is my cousin's donkey.
what the hell happened?,what the hell is going on?
"It's bonkers our landlord never mentioned him, innit?","it sucks that his landlord didn't mention him, huh?"
Is now our evil construction rental guy.,now he's our diabolical rental guy.
"Well, when you re-the-fuck-open... note Jane Cannary extending stay in camp... asking you to turn out her horse.","when you open, take note of Jane Cannari's whereabouts, and asks you to release her horse."
"'You're a firestarter, honey.","""you're an arsonist, sweetheart."
"So, as we always say at the Guest House Paradiso, have fun, avoid the water and don't get shit on the sheets.","so, as we say at Guest House Paradiso, have fun, break out the water and don't get on the sheets."
"He's a made guy in the Cavazzere family and he's also a real bad-ass, so when you get that download, you start planning your exit strategy.","he's got a guy in the Cavazzer family, and he's a real pain in the ass, so when you get to the move, you start thinking about how you get out."
I'd like a cremation as soon as possible.,I want him cremated as soon as possible.
Are you gonna keep being silent?,you're gonna keep your mouth shut?
"I got to get to the bank, I'm late renewing my license, and they're gonna turn off my fucking gas if I don't pay my bill. Is there any way...","I have to go to the bank and get my license extended, and if I don't pay the bill, the fucking gas is off."
Where are those damn car keys ?,where the hell are the keys?
"You call it off-color, I call it nuts.","you call it that, I'm crazy."
I could just break something over her head right now.,I'd like to break something with her head.
"I go crazy, you pretend they are afraid.","I'm gonna go crazy, you get scared and..."
I can't believe you'd wanna kill anybody.,I don't believe you killed anyone.
"""I would not harm you,"" the hag whined.","""I won't hurt you,"" the old woman whined."
"You know, money problems and all that shit.","you know what, money problems and everything."
I am not fucking joking!,I'm not kidding!
You want me to be a traitor?,"in other words, you want to be a traitor to me."
Do you really want to explain it to every asshole who orders a drink?,would I like to explain to everyone who orders a drink?
Why Kill my child?,why kill your own children?
"Trouble is, we'll all be dead.",the problem is we'll be dead.
"Damn it, those are tight! Doesn't that hurt?","oh, my God, they're tight."
My partner here kicked me with steel-tipped boots.,your partner here kicked my shoe with a steel thumb.
"Without local protection, you guys are just drunk lambs at a wolf party.","without local protection, you're just a drunken lamb on a wolf party."
"I want no trouble, no larking about","I don't want any trouble, and no silly jokes."
"'I remember clearly the sound other voice, rather low, slightly husky, and, stupid as it is, it seemed that the echo resounded in the lane and bounced off the dirty yellow wall.","though it was naive, it seemed to me that an echo had passed down the aisle and bounced off a dirty yellow wall."
Keep your childish charms for some coxcomb!,keep your childish charm for a buffoon!
"Should he still be embarrassed by a child's offense, after all these years?","should he still be led out of a foolish child's insult, after all these years he had gained so much experience?"
They're like Jews and wedding hors d'oeuvres.,they like chairs and wedding boards.
What he thinking?,what the hell do you think?
"Andy, this is Jake. Now I hope you're checking your messages because we have a real mess here.","Andy, it's Jake. I hope you check your messages...... because we're in serious shit here."
Write yourself a note and hang it over your one good fucking eye:,write it down on a piece of paper... and hang it in front of your eyes.
This is messed up.,now it's fucked.
You a ugly motherfucker Your pops should've wore a rubber,your old man should have worn a rubber.
